"subject" "activity" "signal" "mean"
1 "LAYING" "tBodyAccmeanX" 0.265696920582133
1 "SITTING" "tBodyAccmeanX" 0.265696920582133
1 "STANDING" "tBodyAccmeanX" 0.265696920582133
1 "WALKING" "tBodyAccmeanX" 0.265696920582133
1 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.265696920582133
1 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.265696920582133
2 "LAYING" "tBodyAccmeanX" 0.273113115788079
2 "SITTING" "tBodyAccmeanX" 0.273113115788079
2 "STANDING" "tBodyAccmeanX" 0.273113115788079
2 "WALKING" "tBodyAccmeanX" 0.273113115788079
2 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.273113115788079
2 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.273113115788079
3 "LAYING" "tBodyAccmeanX" 0.273428719636364
3 "SITTING" "tBodyAccmeanX" 0.273428719636364
3 "STANDING" "tBodyAccmeanX" 0.273428719636364
3 "WALKING" "tBodyAccmeanX" 0.273428719636364
3 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.273428719636364
3 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.273428719636364
4 "LAYING" "tBodyAccmeanX" 0.274183111498423
4 "SITTING" "tBodyAccmeanX" 0.274183111498423
4 "STANDING" "tBodyAccmeanX" 0.274183111498423
4 "WALKING" "tBodyAccmeanX" 0.274183111498423
4 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.274183111498423
4 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.274183111498423
5 "LAYING" "tBodyAccmeanX" 0.279177960301325
5 "SITTING" "tBodyAccmeanX" 0.279177960301325
5 "STANDING" "tBodyAccmeanX" 0.279177960301325
5 "WALKING" "tBodyAccmeanX" 0.279177960301325
5 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.279177960301325
5 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.279177960301325
6 "LAYING" "tBodyAccmeanX" 0.272376614181538
6 "SITTING" "tBodyAccmeanX" 0.272376614181538
6 "STANDING" "tBodyAccmeanX" 0.272376614181538
6 "WALKING" "tBodyAccmeanX" 0.272376614181538
6 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.272376614181538
6 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.272376614181538
7 "LAYING" "tBodyAccmeanX" 0.270211697814935
7 "SITTING" "tBodyAccmeanX" 0.270211697814935
7 "STANDING" "tBodyAccmeanX" 0.270211697814935
7 "WALKING" "tBodyAccmeanX" 0.270211697814935
7 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.270211697814935
7 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.270211697814935
8 "LAYING" "tBodyAccmeanX" 0.270759063295374
8 "SITTING" "tBodyAccmeanX" 0.270759063295374
8 "STANDING" "tBodyAccmeanX" 0.270759063295374
8 "WALKING" "tBodyAccmeanX" 0.270759063295374
8 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.270759063295374
8 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.270759063295374
9 "LAYING" "tBodyAccmeanX" 0.270313841621528
9 "SITTING" "tBodyAccmeanX" 0.270313841621528
9 "STANDING" "tBodyAccmeanX" 0.270313841621528
9 "WALKING" "tBodyAccmeanX" 0.270313841621528
9 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.270313841621528
9 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.270313841621528
10 "LAYING" "tBodyAccmeanX" 0.27684847392517
10 "SITTING" "tBodyAccmeanX" 0.27684847392517
10 "STANDING" "tBodyAccmeanX" 0.27684847392517
10 "WALKING" "tBodyAccmeanX" 0.27684847392517
10 "WALKING_DOWNSTAIRS" "tBodyAccmeanX" 0.27684847392517
10 "WALKING_UPSTAIRS" "tBodyAccmeanX" 0.27684847392517
11 "LAYING" "tBodyAccmeanX" 0.27658531139557
11 "SITTING" "tBodyAccmeanX" 0.27658531139557
11 "STANDING" "tBodyAccmeanX" 0.27658531139557
